mara1;mara2;half1;half2;ten1;ten2
02:44:54;02:45:16;01:23:25;01:23:29;00:41:01;00:41:07
02:44:54;02:45:22;01:23:28;01:24:19;00:41:03;00:41:09
02:44:54;02:45:22;01:23:36;01:23:57;00:41:09;00:41:15
02:44:57;02:47:19;01:23:37;01:23:42;00:41:12;00:41:18
02:44:58;02:45:12;01:23:38;01:23:56;00:41:14;00:41:20
02:44:58;02:45:12;01:23:42;01:23:51;00:41:15;00:41:21
02:45:08;02:45:27;01:23:42;01:24:00;00:41:17;00:41:23
02:45:19;02:45:42;01:23:47;01:23:58;00:41:21;00:41:27
02:45:27;02:46:09;01:23:52;01:24:04;00:41:22;00:41:28
02:45:27;02:46:09;01:23:54;01:24:22;00:41:24;00:41:30
02:45:27;02:46:09;01:23:55;01:24:16;00:41:25;00:41:31
02:45:30;02:46:12;01:23:56;01:25:31;00:41:27;00:41:33
02:45:30;02:46:12;01:23:57;01:24:05;00:41:34;00:41:40
02:45:35;02:45:54;01:23:58;01:24:09;00:41:34;00:41:40
02:45:37;02:46:12;01:24:07;01:24:09;00:41:36;00:41:42
02:45:38;02:45:48;01:24:07;01:24:16;00:41:38;00:41:44
02:45:38;02:45:54;01:24:10;01:24:21;00:41:40;00:41:46
02:45:38;02:45:54;01:24:11;01:24:14;00:41:42;00:41:48
02:45:39;02:45:53;01:24:16;01:24:22;00:41:41;00:41:48
02:45:47;02:45:49;01:24:22;01:24:38;00:41:43;00:41:50
02:45:55;02:48:35;01:24:22;01:25:57;00:41:44;00:41:51
02:46:01;02:46:15;01:24:23;01:25:47;00:41:45;00:41:52
02:46:09;02:46:23;01:24:24;01:25:08;00:41:50;00:41:57
02:46:11;02:46:23;01:24:26;01:24:29;00:41:50;00:41:57
02:46:14;02:46:33;01:24:27;01:25:35;00:41:51;00:41:58
02:46:26;02:47:12;01:24:27;01:25:36;00:41:52;00:41:59
02:46:29;02:46:30;01:24:28;01:24:29;00:41:53;00:42:00
02:46:34;02:47:01;01:24:30;01:24:47;00:41:55;00:42:02
02:46:35;02:47:17;01:24:30;01:25:06;00:41:55;00:42:02
02:46:35;02:47:17;01:24:36;01:25:10;00:41:56;00:42:03
02:46:37;02:47:20;01:24:36;01:25:26;00:41:58;00:42:05
02:46:41;02:48:29;01:24:39;01:24:51;00:41:58;00:42:05
02:46:41;02:48:29;01:24:39;01:24:58;00:41:58;00:42:05
02:46:42;02:47:07;01:24:44;01:24:46;00:41:59;00:42:06
02:46:43;02:47:21;01:24:45;01:24:53;00:41:59;00:42:06
02:46:43;02:47:21;01:24:46;01:25:02;00:41:59;00:42:06
02:46:44;02:47:12;01:24:47;01:25:03;00:42:05;00:42:12
02:46:48;02:49:37;01:24:49;01:25:07;00:42:08;00:42:15
02:46:48;02:49:37;01:24:51;01:25:21;00:42:11;00:42:18
02:46:52;02:48:32;01:24:51;01:25:31;00:42:22;00:42:29
02:46:54;02:47:50;01:24:55;01:24:56;00:42:23;00:42:30
02:46:54;02:47:50;01:24:57;01:25:03;00:42:25;00:42:32
02:46:55;02:47:01;01:25:02;01:25:12;00:42:25;00:42:32
02:46:55;02:47:01;01:25:04;01:25:14;00:42:26;00:42:34
02:46:58;02:47:17;01:25:05;01:25:15;00:42:28;00:42:36
02:47:04;02:47:18;01:25:06;01:25:13;00:42:28;00:42:36
02:47:04;02:47:18;01:25:08;01:25:30;00:42:28;00:42:36
02:47:17;02:47:42;01:25:09;01:25:58;00:42:29;00:42:37
02:47:17;02:47:54;01:25:14;01:25:20;00:42:30;00:42:38
02:47:17;02:49:26;01:25:14;01:25:23;00:42:33;00:42:41
02:47:17;02:50:53;01:25:15;01:25:40;00:42:33;00:42:41
02:47:24;02:50:41;01:25:23;01:25:24;00:42:35;00:42:43
02:47:28;02:47:53;01:25:23;01:25:24;00:42:38;00:42:46
02:47:32;02:47:59;01:25:23;01:25:25;00:42:39;00:42:47
02:47:33;02:48:10;01:25:23;01:25:31;00:42:39;00:42:47
02:47:35;02:50:30;01:25:26;01:25:32;00:42:40;00:42:48
02:47:35;02:50:30;01:25:26;01:25:49;00:42:41;00:42:49
02:47:39;02:47:45;01:25:29;01:25:31;00:42:44;00:42:52
02:47:39;02:47:45;01:25:30;01:27:00;00:42:45;00:42:53
02:47:44;02:48:09;01:25:32;01:25:52;00:42:47;00:42:55
02:47:44;02:48:33;01:25:34;01:25:42;00:42:46;00:42:55
02:47:44;02:48:56;01:25:36;01:25:49;00:42:47;00:42:56
02:47:44;02:48:56;01:25:38;01:25:49;00:42:49;00:42:58
02:47:47;02:48:14;01:25:47;01:25:53;00:42:50;00:42:59
02:47:49;02:50:13;01:25:50;01:25:57;00:42:50;00:42:59
02:47:51;02:48:05;01:25:52;01:25:59;00:42:51;00:43:00
02:47:51;02:48:05;01:25:52;01:26:39;00:42:53;00:43:02
02:47:53;02:48:59;01:25:52;01:26:48;00:42:54;00:43:03
02:47:58;02:48:28;01:25:54;01:27:21;00:42:55;00:43:04
02:48:01;02:49:15;01:25:55;01:32:42;00:42:55;00:43:04
02:48:09;02:48:40;01:25:56;01:26:09;00:42:57;00:43:06
02:48:09;02:48:52;01:25:56;01:26:09;00:42:58;00:43:07
02:48:10;02:52:19;01:25:57;01:25:58;00:42:59;00:43:08
02:48:10;02:52:19;01:25:57;01:27:08;00:42:59;00:43:08
02:48:22;02:48:51;01:26:00;01:26:03;00:43:01;00:43:10
02:48:23;02:49:25;01:26:01;01:26:04;00:43:02;00:43:11
02:48:23;02:50:01;01:26:01;01:26:09;00:43:04;00:43:13
02:48:28;02:49:05;01:26:02;01:26:04;00:43:04;00:43:13
02:48:29;02:48:35;01:26:02;01:26:17;00:43:05;00:43:14
02:48:29;02:49:04;01:26:04;01:26:09;00:43:05;00:43:14
02:48:31;02:49:09;01:26:04;01:26:20;00:43:06;00:43:15
02:48:31;02:49:09;01:26:05;01:26:13;00:43:05;00:43:15
02:48:37;02:49:33;01:26:06;01:26:13;00:43:05;00:43:15
02:48:37;02:49:33;01:26:06;01:27:15;00:43:05;00:43:15
02:48:39;02:49:10;01:26:07;01:26:12;00:43:08;00:43:18
02:48:42;02:49:32;01:26:07;01:26:16;00:43:09;00:43:19
02:48:43;02:49:14;01:26:07;01:26:18;00:43:09;00:43:19
02:48:43;02:49:14;01:26:08;01:26:31;00:43:09;00:43:19
02:48:46;02:49:00;01:26:08;01:26:34;00:43:10;00:43:20
02:48:46;02:49:00;01:26:09;01:26:13;00:43:11;00:43:21
02:48:46;02:49:36;01:26:12;01:26:45;00:43:13;00:43:23
02:48:46;02:50:35;01:26:24;01:26:31;00:43:14;00:43:24
02:48:46;02:50:35;01:26:24;01:27:33;00:43:14;00:43:24
02:48:51;02:49:18;01:26:25;01:26:45;00:43:16;00:43:26
02:48:52;02:50:16;01:26:32;01:26:48;00:43:17;00:43:27
02:48:52;02:50:16;01:26:32;01:26:53;00:43:18;00:43:28
02:48:53;02:49:12;01:26:33;01:26:38;00:43:20;00:43:30
02:48:57;02:48:59;01:26:34;01:26:42;00:43:21;00:43:31
02:48:57;02:49:54;01:26:35;01:26:36;00:43:22;00:43:32
02:49:00;02:49:29;01:26:35;01:28:13;00:43:23;00:43:33
02:49:00;02:49:52;01:26:38;01:26:52;00:43:23;00:43:34
02:49:00;02:49:52;01:26:38;01:26:56;00:43:26;00:43:37
02:49:00;02:50:35;01:26:39;01:27:18;00:43:28;00:43:39
02:49:00;02:50:35;01:26:40;01:26:44;00:43:28;00:43:39
02:49:02;02:49:21;01:26:42;01:28:08;00:43:32;00:43:43
02:49:02;02:49:21;01:26:43;01:26:49;00:43:32;00:43:43
02:49:05;02:49:55;01:26:43;01:26:55;00:43:33;00:43:44
02:49:05;02:49:55;01:26:45;01:27:53;00:43:33;00:43:44
02:49:06;02:49:56;01:26:45;01:31:08;00:43:36;00:43:47
02:49:06;02:49:56;01:26:45;01:31:17;00:43:36;00:43:47
02:49:07;02:49:26;01:26:48;01:26:52;00:43:37;00:43:48
02:49:07;02:49:26;01:26:49;01:27:19;00:43:40;00:43:51
02:49:07;02:49:53;01:26:51;01:26:58;00:43:41;00:43:52
02:49:10;02:49:22;01:26:51;01:27:06;00:43:43;00:43:54
02:49:10;02:50:27;01:26:52;01:27:36;00:43:43;00:43:54
02:49:12;02:52:01;01:26:52;01:28:15;00:43:44;00:43:55
02:49:19;02:51:30;01:26:54;01:27:15;00:43:45;00:43:56
02:49:23;02:49:50;01:26:57;01:27:03;00:43:45;00:43:56
02:49:23;02:50:29;01:26:57;01:27:09;00:43:45;00:43:57
02:49:31;02:49:58;01:26:57;01:31:16;00:43:45;00:43:57
02:49:32;02:49:59;01:26:58;01:27:17;00:43:48;00:44:00
02:49:39;02:50:04;01:26:59;01:27:20;00:43:49;00:44:01
02:49:42;02:51:13;01:27:00;01:27:03;00:43:49;00:44:01
02:49:49;02:50:35;01:27:00;01:27:07;00:43:50;00:44:02
02:49:49;02:50:35;01:27:00;01:28:27;00:43:50;00:44:02
02:50:02;02:50:21;01:27:01;01:27:05;00:43:53;00:44:05
02:50:02;02:50:21;01:27:02;01:27:11;00:43:53;00:44:05
02:50:09;02:50:52;01:27:04;01:27:14;00:43:54;00:44:06
02:50:20;02:52:38;01:27:05;01:27:37;00:43:54;00:44:06
02:50:24;02:50:55;01:27:07;01:28:26;00:43:55;00:44:07
02:50:29;02:50:48;01:27:08;01:27:25;00:43:56;00:44:08
02:50:34;02:50:59;01:27:10;01:27:51;00:43:56;00:44:08
02:50:34;02:50:59;01:27:11;01:27:25;00:43:59;00:44:11
02:50:34;02:50:59;01:27:12;01:27:31;00:44:01;00:44:14
02:50:39;03:04:10;01:27:13;01:27:15;00:44:01;00:44:14
02:50:40;02:53:04;01:27:14;01:27:29;00:44:02;00:44:15
02:50:46;02:52:35;01:27:16;01:27:31;00:44:02;00:44:15
02:50:52;02:51:38;01:27:16;01:27:46;00:44:05;00:44:18
02:50:52;02:51:38;01:27:17;01:27:26;00:44:06;00:44:19
02:50:55;02:51:35;01:27:17;01:28:02;00:44:06;00:44:19
02:50:55;02:51:35;01:27:22;01:27:24;00:44:08;00:44:21
02:50:58;02:51:18;01:27:22;01:27:24;00:44:09;00:44:22
02:51:00;02:53:27;01:27:22;01:27:31;00:44:09;00:44:22
02:51:05;02:52:56;01:27:22;01:27:39;00:44:09;00:44:22
02:51:06;02:52:35;01:27:24;01:27:48;00:44:10;00:44:23
02:51:06;02:52:35;01:27:26;01:27:27;00:44:10;00:44:23
02:51:08;03:04:39;01:27:27;01:27:36;00:44:11;00:44:24
02:51:09;02:51:29;01:27:27;01:27:37;00:44:12;00:44:25
02:51:18;03:03:20;01:27:27;01:27:41;00:44:12;00:44:25
02:51:21;02:52:04;01:27:27;01:29:07;00:44:13;00:44:26
02:51:26;02:51:38;01:27:28;01:29:01;00:44:12;00:44:26
02:51:26;02:51:53;01:27:29;01:28:09;00:44:14;00:44:28
02:51:26;02:51:53;01:27:31;01:27:32;00:44:15;00:44:29
02:51:27;02:52:10;01:27:31;01:28:03;00:44:16;00:44:30
02:51:31;02:52:45;01:27:32;01:27:39;00:44:16;00:44:30
02:51:32;02:51:59;01:27:34;01:27:46;00:44:16;00:44:30
02:51:32;02:51:59;01:27:34;01:27:55;00:44:19;00:44:33
02:51:42;02:53:13;01:27:35;01:27:42;00:44:19;00:44:33
02:51:43;02:52:48;01:27:35;01:28:06;00:44:19;00:44:33
02:51:47;02:52:10;01:27:38;01:29:16;00:44:22;00:44:36
02:51:48;02:52:26;01:27:42;01:27:48;00:44:23;00:44:37
02:51:48;02:52:26;01:27:44;01:28:28;00:44:23;00:44:37
02:51:55;02:52:11;01:27:45;01:27:52;00:44:23;00:44:37
02:51:55;02:52:11;01:27:45;01:27:54;00:44:24;00:44:38
02:51:59;02:52:13;01:27:45;01:28:01;00:44:24;00:44:38
02:52:04;02:52:16;01:27:45;01:28:16;00:44:25;00:44:39
02:52:04;02:52:16;01:27:45;01:28:23;00:44:26;00:44:40
02:52:04;02:53:42;01:27:45;01:38:42;00:44:26;00:44:40
02:52:08;02:52:54;01:27:48;01:27:58;00:44:26;00:44:41
02:52:08;02:52:54;01:27:48;01:28:28;00:44:26;00:44:41
02:52:09;02:55:19;01:27:50;01:34:57;00:44:27;00:44:42
02:52:09;02:55:19;01:27:51;01:27:56;00:44:27;00:44:42
02:52:10;02:53:00;01:27:51;01:28:29;00:44:27;00:44:42
02:52:10;02:53:00;01:27:52;01:28:18;00:44:28;00:44:43
02:52:16;02:53:30;01:27:53;01:28:01;00:44:28;00:44:43
02:52:18;02:52:33;01:27:53;01:28:32;00:44:29;00:44:44
02:52:18;02:53:01;01:27:54;01:27:59;00:44:30;00:44:45
02:52:20;02:53:49;01:27:54;01:28:15;00:44:31;00:44:46
02:52:20;02:53:49;01:27:56;01:27:57;00:44:31;00:44:46
02:52:22;02:53:39;01:27:56;01:28:00;00:44:33;00:44:48
02:52:22;02:53:39;01:27:56;01:29:42;00:44:34;00:44:49
02:52:25;02:52:54;01:27:57;01:27:59;00:44:35;00:44:50
02:52:26;02:52:57;01:27:57;01:28:04;00:44:38;00:44:53
02:52:28;02:53:08;01:27:57;01:28:05;00:44:39;00:44:54
02:52:28;02:53:08;01:27:59;01:28:03;00:44:40;00:44:55
